2026-05-09 01:42:09 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:42:09 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:42:09 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:42:09 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:42:09 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=False
2026-05-09 01:42:09 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:42:09 | DEBUG    | backend.api | get_project_pdf | PDF requested for project_id=2, path=/app/data/uploads/project_2.pdf
2026-05-09 01:42:09 | DEBUG    | backend.api | get_project_pdf | Serving PDF for project_id=2
2026-05-09 01:42:10 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:42:10 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=False
2026-05-09 01:42:10 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:42:13 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:42:13 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:42:13 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:42:15 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:42:15 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:42:15 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:42:15 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:42:15 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=True
2026-05-09 01:42:15 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:42:15 | DEBUG    | backend.api | get_project_pdf | PDF requested for project_id=1, path=/app/data/uploads/project_1.pdf
2026-05-09 01:42:15 | DEBUG    | backend.api | get_project_pdf | Serving PDF for project_id=1
2026-05-09 01:42:16 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:42:16 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=True
2026-05-09 01:42:16 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:48:10 | DEBUG    | backend.database | <module> | Database directory ensured: /app/data
