2026-05-09 13:53:39 | INFO     | components.ocr.api | <module> | Initializing OCR service...
2026-05-09 13:53:39 | DEBUG    | components.ocr.config | load_configuration | Loaded .env from: 'C:\Users\esteb\Desktop\prueba_verify\Technical_test_verify\.env'
2026-05-09 13:53:39 | INFO     | components.ocr.config | load_configuration | Veryfi configuration loaded successfully. Keys present: client_id, client_secret, username, api_key
2026-05-09 13:53:39 | INFO     | components.ocr.ocr | __init__ | Initializing Veryfi client for username='estebma'.
2026-05-09 13:53:39 | DEBUG    | components.ocr.ocr | __init__ | Veryfi client initialized successfully.
2026-05-09 13:53:39 | INFO     | components.ocr.api | <module> | OCR service initialized successfully.
2026-05-09 13:53:43 | INFO     | components.ocr.api | process_pdf | Received OCR request: filename='a.pdf', content_type='application/pdf'
2026-05-09 13:53:43 | DEBUG    | components.ocr.api | process_pdf | File read into memory: 4 bytes
2026-05-09 13:53:43 | DEBUG    | components.ocr.api | process_pdf | SHA-256 hash computed for 'a.pdf': h1...
2026-05-09 13:53:43 | INFO     | components.ocr.api | process_pdf | Cache HIT — skipping Veryfi API call for 'a.pdf'. Returning cached text (11 chars).
2026-05-09 13:53:43 | INFO     | components.ocr.api | process_pdf | Received OCR request: filename='a.pdf', content_type='application/pdf'
2026-05-09 13:53:43 | DEBUG    | components.ocr.api | process_pdf | File read into memory: 4 bytes
2026-05-09 13:53:43 | DEBUG    | components.ocr.api | process_pdf | SHA-256 hash computed for 'a.pdf': h2...
2026-05-09 13:53:43 | DEBUG    | components.ocr.api | process_pdf | PDF written to temp file: C:\Users\esteb\AppData\Local\Temp\tmpr94t7m_e.pdf
2026-05-09 13:53:43 | INFO     | components.ocr.api | process_pdf | OCR extraction successful for 'a.pdf': 10 characters extracted.
2026-05-09 13:53:43 | DEBUG    | components.ocr.api | process_pdf | Temp file cleaned up: C:\Users\esteb\AppData\Local\Temp\tmpr94t7m_e.pdf
2026-05-09 13:53:43 | INFO     | components.ocr.api | process_pdf | Received OCR request: filename='a.pdf', content_type='application/pdf'
2026-05-09 13:53:43 | ERROR    | components.ocr.api | process_pdf | OCR service is not initialized. Cannot process request.
2026-05-09 13:53:43 | INFO     | components.ocr.api | process_pdf | Received OCR request: filename='a.pdf', content_type='application/pdf'
2026-05-09 13:53:43 | DEBUG    | components.ocr.api | process_pdf | File read into memory: 4 bytes
2026-05-09 13:53:43 | DEBUG    | components.ocr.api | process_pdf | SHA-256 hash computed for 'a.pdf': h3...
