2026-05-09 01:41:32 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:41:32 | INFO     | views.dashboard | dashboard_view | Loaded 2 project(s) for user 'admin'.
2026-05-09 01:41:32 | INFO     | views.dashboard | dashboard_view | User 'admin' opening project_id=2.
2026-05-09 01:41:32 | DEBUG    | views.dashboard | _open_project | Loading project data for project_id=2.
2026-05-09 01:41:32 | DEBUG    | views.dashboard | _open_project | Project data loaded for project_id=2: has_extracted_data=False.
2026-05-09 01:41:32 | DEBUG    | views.dashboard | _open_project | Loading PDF bytes for project_id=2.
2026-05-09 01:41:32 | DEBUG    | views.dashboard | _open_project | PDF loaded for project_id=2: 0 bytes.
2026-05-09 01:41:32 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:41:32 | DEBUG    | __main__ | <module> | User='admin' opened project_id=2 — rendering project view.
2026-05-09 01:41:32 | DEBUG    | views.project | project_view | Rendering project view for project_id=2.
2026-05-09 01:41:45 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:41:45 | DEBUG    | __main__ | <module> | User='admin' opened project_id=2 — rendering project view.
2026-05-09 01:41:46 | DEBUG    | views.project | project_view | Rendering project view for project_id=2.
2026-05-09 01:41:47 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:41:47 | DEBUG    | __main__ | <module> | User='admin' opened project_id=2 — rendering project view.
2026-05-09 01:41:47 | DEBUG    | views.project | project_view | Rendering project view for project_id=2.
2026-05-09 01:41:47 | INFO     | views.project | _upload_view | Pipeline triggered for project_id=2, file='extracto_202511.pdf' (495208 bytes).
2026-05-09 01:41:58 | ERROR    | views.project | _upload_view | Pipeline error for project_id=2: HTTP 500 — {"detail":"Extractor Service failed: {\"detail\":\"El formato de este documento aún no ha sido configurado. Por favor agregue el archivo JSON de configuración en la carpeta configs/.\"}"}
2026-05-09 01:42:06 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:42:06 | DEBUG    | __main__ | <module> | User='admin' opened project_id=2 — rendering project view.
2026-05-09 01:42:06 | INFO     | views.project | project_view | User 'admin' returned to dashboard from project_id=2.
2026-05-09 01:42:06 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:42:06 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:42:07 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:42:07 | INFO     | views.dashboard | dashboard_view | Loaded 2 project(s) for user 'admin'.
2026-05-09 01:42:09 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:42:09 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:42:09 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:42:09 | INFO     | views.dashboard | dashboard_view | Loaded 2 project(s) for user 'admin'.
2026-05-09 01:42:09 | INFO     | views.dashboard | dashboard_view | User 'admin' opening project_id=2.
2026-05-09 01:42:09 | DEBUG    | views.dashboard | _open_project | Loading project data for project_id=2.
2026-05-09 01:42:09 | DEBUG    | views.dashboard | _open_project | Project data loaded for project_id=2: has_extracted_data=False.
2026-05-09 01:42:09 | DEBUG    | views.dashboard | _open_project | Loading PDF bytes for project_id=2.
2026-05-09 01:42:09 | DEBUG    | views.dashboard | _open_project | PDF loaded for project_id=2: 495208 bytes.
2026-05-09 01:42:09 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:42:09 | DEBUG    | __main__ | <module> | User='admin' opened project_id=2 — rendering project view.
2026-05-09 01:42:10 | DEBUG    | views.project | project_view | Rendering project view for project_id=2.
2026-05-09 01:42:12 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:42:12 | DEBUG    | __main__ | <module> | User='admin' opened project_id=2 — rendering project view.
2026-05-09 01:42:13 | INFO     | views.project | project_view | User 'admin' returned to dashboard from project_id=2.
2026-05-09 01:42:13 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:42:13 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:42:13 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:42:13 | INFO     | views.dashboard | dashboard_view | Loaded 2 project(s) for user 'admin'.
2026-05-09 01:42:15 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:42:15 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:42:15 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:42:15 | INFO     | views.dashboard | dashboard_view | Loaded 2 project(s) for user 'admin'.
2026-05-09 01:42:15 | INFO     | views.dashboard | dashboard_view | User 'admin' opening project_id=1.
2026-05-09 01:42:15 | DEBUG    | views.dashboard | _open_project | Loading project data for project_id=1.
2026-05-09 01:42:15 | DEBUG    | views.dashboard | _open_project | Project data loaded for project_id=1: has_extracted_data=True.
2026-05-09 01:42:15 | DEBUG    | views.dashboard | _open_project | Loading PDF bytes for project_id=1.
2026-05-09 01:42:15 | DEBUG    | views.dashboard | _open_project | PDF loaded for project_id=1: 271239 bytes.
2026-05-09 01:42:15 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:42:15 | DEBUG    | __main__ | <module> | User='admin' opened project_id=1 — rendering project view.
2026-05-09 01:42:16 | DEBUG    | views.project | project_view | Rendering project view for project_id=1.
2026-05-09 01:42:16 | DEBUG    | utils.pdf_renderer | display_pdf | Rendering PDF page 1 (271239 bytes).
2026-05-09 01:42:16 | DEBUG    | utils.pdf_renderer | display_pdf | Page 1 rendered: 240583 bytes PNG.
2026-05-09 01:47:50 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:47:50 | DEBUG    | __main__ | <module> | No active session — rendering login view.
2026-05-09 01:47:55 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:47:55 | DEBUG    | __main__ | <module> | No active session — rendering login view.
2026-05-09 01:48:13 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:48:13 | DEBUG    | __main__ | <module> | No active session — rendering login view.
2026-05-09 01:54:16 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:54:16 | DEBUG    | __main__ | <module> | No active session — rendering login view.
2026-05-09 01:54:19 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:54:19 | DEBUG    | __main__ | <module> | No active session — rendering login view.
2026-05-09 01:54:21 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:54:21 | DEBUG    | __main__ | <module> | No active session — rendering login view.
2026-05-09 01:54:22 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:54:22 | DEBUG    | __main__ | <module> | No active session — rendering login view.
2026-05-09 01:54:22 | INFO     | views.login | login_view | Login attempt for username='admin'.
2026-05-09 01:54:22 | INFO     | views.login | login_view | Login successful for username='admin'.
2026-05-09 01:54:22 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:54:22 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:54:23 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:54:23 | INFO     | views.dashboard | dashboard_view | Loaded 2 project(s) for user 'admin'.
2026-05-09 01:54:26 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:54:26 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:54:26 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:54:26 | INFO     | views.dashboard | dashboard_view | Loaded 2 project(s) for user 'admin'.
